	IBM	Stock Price	Cash	Portfolio Value
2015-05-22	-100	164.482242	61634.1536	45185.9294
2015-05-26	0	162.486148	45385.5388	45385.5388
2015-05-27	-100	164.272125	61812.7513	45385.5388
2015-05-28	0	163.995161	45413.2352	45413.2352
2015-05-29	100	162.027704	29210.4648	45413.2352
2015-06-01	100	162.53389	29210.4648	45463.8538
2015-06-02	100	162.027704	29210.4648	45413.2352
2015-06-03	0	162.285577	45439.0225	45439.0225
2015-06-04	0	160.814775	45439.0225	45439.0225
2015-06-05	0	159.878795	45439.0225	45439.0225
2015-06-08	0	157.911352	45439.0225	45439.0225
2015-06-09	0	158.236073	45439.0225	45439.0225
2015-06-10	0	161.330506	45439.0225	45439.0225
2015-06-11	0	161.196797	45439.0225	45439.0225
2015-06-12	-100	159.487227	61387.7452	45439.0225
2015-06-15	-100	158.790015	61387.7452	45508.7437
2015-06-16	0	159.343958	45453.3494	45453.3494
2015-06-17	0	159.659133	45453.3494	45453.3494
2015-06-18	-100	160.690611	61522.4105	45453.3494
2015-06-19	-100	159.487227	61522.4105	45573.6878
2015-06-22	0	160.19397	45503.0135	45503.0135
2015-06-23	100	161.043982	29398.6153	45503.0135
2015-06-24	0	159.468122	45345.4275	45345.4275
2015-06-25	-100	158.61811	61207.2385	45345.4275
2015-06-26	0	158.025971	45404.6414	45404.6414
2015-06-29	0	155.64784	45404.6414	45404.6414
2015-06-30	0	155.35177	45404.6414	45404.6414
2015-07-01	0	157.099551	45404.6414	45404.6414
2015-07-02	0	157.672585	45404.6414	45404.6414
2015-07-06	-100	157.328759	61137.5173	45404.6414
2015-07-07	-100	157.586632	61137.5173	45378.8541
